ticker,quarter,field,value,source,confidence,notes
ARCC,Q1 2026,new_investment_count,18,8-K,high,"8-K press release: '18 new portfolio companies and 43 existing portfolio companies'"
ARCC,Q1 2026,yield_on_new_investments_pct,9.2,10-Q,high,"10-Q Portfolio Activity table: 'Weighted average yield of debt funded during period at amortized cost: 9.2%'"
ARCC,Q1 2026,na_new_additions_mn,,null,null,"ARCC 10-Q does not disclose non-accrual rollforward; only total balance shown (1.8% prior; 2.1% current)"
ARCC,Q1 2026,na_resolutions_mn,,null,null,"No rollforward in 10-Q"
ARCC,Q1 2026,sponsor_pct,,null,null,"ARCC 8-K discloses '264 separate private equity sponsors represented' - count not %"
ARCC,Q1 2026,geographic_us_pct,,null,null,"ARCC describes itself as US-focused but does not disclose specific %"
ARCC,Q1 2026,avg_ebitda_mn,,null,null,"ARCC does not disclose portfolio company EBITDA statistics in 10-Q or 8-K"
ARCC,Q1 2026,avg_leverage_borrower,,null,null,"Not disclosed"
ARCC,Q1 2026,avg_interest_coverage_borrower,,null,null,"Not disclosed"
ARCC,Q1 2026,exit_count,,null,null,"ARCC discloses $-amount of exited commitments ($3;176M) but not count"
MAIN,Q4 2025,avg_ebitda_mn,11.1,10-K,medium,"MAIN reports two segments; LMM avg EBITDA $11.1M (table); Private Loan weighted-avg EBITDA $33.9M. Used LMM as primary segment number"
MAIN,Q4 2025,roc_pct,0.0,10-K,high,"Tax character of FY2025 distributions: $346.7M ordinary income + $30.4M qualified dividends = $377.2M total; no ROC line item disclosed"
MAIN,Q4 2025,na_new_additions_mn,,null,null,"No rollforward in 10-K"
MAIN,Q4 2025,na_resolutions_mn,,null,null,"No rollforward"
MAIN,Q4 2025,sponsor_pct,,null,null,"MAIN does not disclose sponsor-backed % directly"
MAIN,Q4 2025,geographic_us_pct,,null,null,"Not disclosed as a specific %"
MAIN,Q4 2025,avg_leverage_borrower,,null,null,"Mentions net debt/EBITDA only as a valuation input not a portfolio statistic"
MAIN,Q4 2025,avg_interest_coverage_borrower,,null,null,"Same - listed as valuation input only"
MAIN,Q4 2025,yield_on_new_investments_pct,,null,null,"Yields shown are portfolio-wide effective yields (12.5% LMM 10.1% Private Loan) not on new investments"
MAIN,Q4 2025,new_investment_count,,null,null,"Not in main 10-K text section reviewed; would require 8-K press release"
MAIN,Q4 2025,exit_count,,null,null,"Not in main 10-K text section reviewed"
OBDC,Q4 2025,avg_ebitda_mn,237.0,10-K,high,"10-K MD&A: 'weighted average annual EBITDA of $237 million' (covers 92.9% of debt portfolio at FV)"
OBDC,Q4 2025,avg_interest_coverage_borrower,1.9,10-K,high,"10-K: 'average interest coverage of 1.9x'"
OBDC,Q4 2025,avg_leverage_borrower,,null,null,"OBDC discloses LTV (42%) not net debt/EBITDA; LTV is enterprise-value based - different metric"
OBDC,Q4 2025,sponsor_pct,,null,null,"Qualitative: 'majority of our investments are supported by sophisticated financial sponsors' - no specific %"
OBDC,Q4 2025,geographic_us_pct,,null,null,"Qualitative: 'upper middle market companies domiciled in the United States' - no specific %"
OBDC,Q4 2025,na_new_additions_mn,,null,null,"Discloses ending non-accrual % only (1.14% at FV) not rollforward"
OBDC,Q4 2025,na_resolutions_mn,,null,null,"No rollforward"
OBDC,Q4 2025,yield_on_new_investments_pct,,null,null,"Not in MDA section reviewed; would need additional reading"
OBDC,Q4 2025,new_investment_count,,null,null,"Investment activity table shows $ amounts only ($4;298M new commitments FY2025)"
OBDC,Q4 2025,exit_count,,null,null,"Same - $ amounts only"
BXSL,Q4 2025,avg_ebitda_mn,219.0,10-K,high,"10-K MD&A: 'weighted average annual EBITDA of $219 million' (Dec 31 2025; vs $198M prior year)"
BXSL,Q4 2025,avg_interest_coverage_borrower,2.0,8-K,high,"8-K press release: 'stable interest coverage ratios of 2.0x'"
BXSL,Q4 2025,avg_leverage_borrower,,null,null,"Not directly disclosed in reviewed sections"
BXSL,Q4 2025,sponsor_pct,,null,null,"Qualitative only: 'targeting sponsor-backed transactions'"
BXSL,Q4 2025,geographic_us_pct,,null,null,"Qualitative US-focus only"
BXSL,Q4 2025,na_new_additions_mn,,null,null,"Discloses ending NA % only (0.5% at FV)"
BXSL,Q4 2025,na_resolutions_mn,,null,null,"No rollforward"
BXSL,Q4 2025,yield_on_new_investments_pct,,null,null,"Not in reviewed excerpts"
BXSL,Q4 2025,new_investment_count,,null,null,"Not in reviewed excerpts"
BXSL,Q4 2025,exit_count,,null,null,"Not in reviewed excerpts"
GBDC,Q3 2025,avg_ebitda_mn,75.1,10-Q,high,"10-Q: 'portfolio median EBITDA ... was $75.1 million' (vs $72.4M prior period)"
GBDC,Q3 2025,avg_interest_coverage_borrower,,null,null,"Not in reviewed excerpts"
GBDC,Q3 2025,avg_leverage_borrower,,null,null,"Not in reviewed excerpts"
GBDC,Q3 2025,sponsor_pct,,null,null,"Not disclosed"
GBDC,Q3 2025,geographic_us_pct,,null,null,"Not disclosed"
GBDC,Q3 2025,na_new_additions_mn,,null,null,"Not disclosed"
GBDC,Q3 2025,na_resolutions_mn,,null,null,"Not disclosed"
GBDC,Q3 2025,yield_on_new_investments_pct,,null,null,"Not in reviewed excerpts"
GBDC,Q3 2025,new_investment_count,,null,null,"Not in reviewed excerpts"
GBDC,Q3 2025,exit_count,,null,null,"Not in reviewed excerpts"
GSBD,Q4 2025,avg_ebitda_mn,71.75,10-K,high,"10-K Portfolio statistics: 'Median EBITDA: $71.75 million'"
GSBD,Q4 2025,avg_leverage_borrower,5.9,10-K,high,"10-K: 'Weighted average leverage (net debt/EBITDA): 5.9x' (vs 6.2x prior)"
GSBD,Q4 2025,avg_interest_coverage_borrower,2.0,10-K,high,"10-K: 'Weighted average interest coverage: 2.0x' (vs 1.8x prior)"
GSBD,Q4 2025,sponsor_pct,,null,null,"Not disclosed as %"
GSBD,Q4 2025,geographic_us_pct,,null,null,"Not disclosed as %"
GSBD,Q4 2025,na_new_additions_mn,,null,null,"No rollforward in reviewed text"
GSBD,Q4 2025,na_resolutions_mn,,null,null,"No rollforward"
GSBD,Q4 2025,yield_on_new_investments_pct,,null,null,"Reviewed text shows portfolio-wide weighted avg yield (9.9%); not new-investment yield specifically"
GSBD,Q4 2025,new_investment_count,,null,null,"Not in reviewed excerpts"
GSBD,Q4 2025,exit_count,,null,null,"Not in reviewed excerpts"
FSK,Q4 2025,avg_ebitda_mn,,null,null,"Not disclosed in reviewed text; FSK 10-K does not include portfolio-company EBITDA statistic"
FSK,Q4 2025,avg_leverage_borrower,,null,null,"Not disclosed"
FSK,Q4 2025,avg_interest_coverage_borrower,,null,null,"Not disclosed"
FSK,Q4 2025,sponsor_pct,,null,null,"Not disclosed as %"
FSK,Q4 2025,geographic_us_pct,,null,null,"Not disclosed as %"
FSK,Q4 2025,na_new_additions_mn,,null,null,"Not disclosed"
FSK,Q4 2025,na_resolutions_mn,,null,null,"Not disclosed"
FSK,Q4 2025,yield_on_new_investments_pct,,null,null,"Not in reviewed excerpts"
FSK,Q4 2025,new_investment_count,,null,null,"Not in reviewed excerpts"
FSK,Q4 2025,exit_count,,null,null,"Not in reviewed excerpts"
OBDE,Q4 2025,avg_ebitda_mn,217.4,10-K,high,"10-K MD&A: 'weighted average EBITDA of $217.4 million' (also restated as $217M when 92.3%-coverage filter applied)"
OBDE,Q4 2025,avg_interest_coverage_borrower,1.7,10-K,high,"10-K: 'average interest coverage of 1.7x'"
OBDE,Q4 2025,avg_leverage_borrower,,null,null,"OBDE discloses LTV (38.9%) not net debt/EBITDA"
OBDE,Q4 2025,sponsor_pct,,null,null,"Qualitative: 'majority of our investments are supported by sophisticated financial sponsors'"
OBDE,Q4 2025,geographic_us_pct,,null,null,"Qualitative US-focus only"
OBDE,Q4 2025,na_new_additions_mn,,null,null,"No rollforward in MD&A"
OBDE,Q4 2025,na_resolutions_mn,,null,null,"No rollforward"
OBDE,Q4 2025,yield_on_new_investments_pct,,null,null,"Not in reviewed excerpts"
OBDE,Q4 2025,new_investment_count,,null,null,"Not in reviewed excerpts"
OBDE,Q4 2025,exit_count,,null,null,"Not in reviewed excerpts"
